                                                                                                                                                                                                                                                                                
{'loss': 7.3427, 'grad_norm': 4.248140811920166, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 7.0956, 'grad_norm': 4.160987854003906, 'learning_rate': 7.407407407407406e-09, 'epoch': 0.01}
{'loss': 7.1444, 'grad_norm': 4.147124290466309, 'learning_rate': 1.4814814814814813e-08, 'epoch': 0.01}
{'loss': 7.4363, 'grad_norm': 4.311033725738525, 'learning_rate': 2.222222222222222e-08, 'epoch': 0.02}
{'loss': 7.2781, 'grad_norm': 4.192226409912109, 'learning_rate': 2.9629629629629625e-08, 'epoch': 0.02}
{'loss': 7.115, 'grad_norm': 4.1502461433410645, 'learning_rate': 3.7037037037037036e-08, 'epoch': 0.02}
{'loss': 7.2909, 'grad_norm': 4.209712028503418, 'learning_rate': 4.444444444444444e-08, 'epoch': 0.02}
{'loss': 7.4059, 'grad_norm': 4.401324272155762, 'learning_rate': 5.1851851851851846e-08, 'epoch': 0.02}
{'loss': 7.0554, 'grad_norm': 4.108490467071533, 'learning_rate': 5.925925925925925e-08, 'epoch': 0.02}
{'loss': 7.3454, 'grad_norm': 4.288357734680176, 'learning_rate': 6.666666666666665e-08, 'epoch': 0.02}
{'loss': 7.3958, 'grad_norm': 4.262157440185547, 'learning_rate': 7.407407407407407e-08, 'epoch': 0.02}
{'loss': 6.9999, 'grad_norm': 3.9896762371063232, 'learning_rate': 8.148148148148148e-08, 'epoch': 0.02}
{'loss': 7.3142, 'grad_norm': 4.165281295776367, 'learning_rate': 8.888888888888888e-08, 'epoch': 0.03}
{'loss': 7.3295, 'grad_norm': 4.303081512451172, 'learning_rate': 9.629629629629629e-08, 'epoch': 0.03}
{'loss': 7.333, 'grad_norm': 4.2408270835876465, 'learning_rate': 1.0370370370370369e-07, 'epoch': 0.03}
{'loss': 7.1999, 'grad_norm': 4.210704803466797, 'learning_rate': 1.1111111111111111e-07, 'epoch': 0.03}
{'loss': 7.2585, 'grad_norm': 4.189029216766357, 'learning_rate': 1.185185185185185e-07, 'epoch': 0.03}
{'loss': 7.4092, 'grad_norm': 4.284018516540527, 'learning_rate': 1.2592592592592592e-07, 'epoch': 0.03}
{'loss': 7.1193, 'grad_norm': 4.123728275299072, 'learning_rate': 1.333333333333333e-07, 'epoch': 0.03}
{'loss': 7.1092, 'grad_norm': 4.073451995849609, 'learning_rate': 1.4074074074074073e-07, 'epoch': 0.03}
{'loss': 7.4402, 'grad_norm': 4.365744590759277, 'learning_rate': 1.4814814814814815e-07, 'epoch': 0.04}
{'loss': 7.1689, 'grad_norm': 4.0973005294799805, 'learning_rate': 1.5555555555555556e-07, 'epoch': 0.04}
