                                                                                                                                                                                                                                                                                
{'loss': 4.9872, 'grad_norm': 6.067531585693359, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 4.7234, 'grad_norm': 6.385748386383057, 'learning_rate': 3.7037037037037037e-06, 'epoch': 0.0}
{'loss': 5.1267, 'grad_norm': 6.288984298706055, 'learning_rate': 7.4074074074074075e-06, 'epoch': 0.0}
{'loss': 4.9846, 'grad_norm': 5.7095561027526855, 'learning_rate': 1.1111111111111112e-05, 'epoch': 0.0}
{'loss': 4.7742, 'grad_norm': 5.954047679901123, 'learning_rate': 1.4814814814814815e-05, 'epoch': 0.01}
{'loss': 5.229, 'grad_norm': 6.362046241760254, 'learning_rate': 1.8518518518518518e-05, 'epoch': 0.01}
{'loss': 5.214, 'grad_norm': 6.81824254989624, 'learning_rate': 2.2222222222222223e-05, 'epoch': 0.01}
{'loss': 5.045, 'grad_norm': 6.600758075714111, 'learning_rate': 2.5925925925925925e-05, 'epoch': 0.01}
{'loss': 4.5255, 'grad_norm': 5.774654865264893, 'learning_rate': 2.962962962962963e-05, 'epoch': 0.01}
{'loss': 4.5639, 'grad_norm': 7.220461368560791, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.01}
{'loss': 4.5181, 'grad_norm': 7.353520393371582, 'learning_rate': 3.7037037037037037e-05, 'epoch': 0.01}
{'loss': 4.7784, 'grad_norm': 7.384204387664795, 'learning_rate': 4.074074074074074e-05, 'epoch': 0.01}
{'loss': 3.4685, 'grad_norm': 6.585953712463379, 'learning_rate': 4.4444444444444447e-05, 'epoch': 0.01}
{'loss': 3.9031, 'grad_norm': 7.379110336303711, 'learning_rate': 4.814814814814815e-05, 'epoch': 0.02}
{'loss': 3.6962, 'grad_norm': 7.872740745544434, 'learning_rate': 5.185185185185185e-05, 'epoch': 0.02}
{'loss': 3.1085, 'grad_norm': 7.575998783111572, 'learning_rate': 5.555555555555556e-05, 'epoch': 0.02}
{'loss': 2.6907, 'grad_norm': 6.205667495727539, 'learning_rate': 5.925925925925926e-05, 'epoch': 0.02}
{'loss': 2.1235, 'grad_norm': 6.477512836456299, 'learning_rate': 6.296296296296296e-05, 'epoch': 0.02}
{'loss': 1.7566, 'grad_norm': 4.711796283721924, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.02}
{'loss': 1.5671, 'grad_norm': 3.355175495147705, 'learning_rate': 7.037037037037038e-05, 'epoch': 0.02}
{'loss': 1.4646, 'grad_norm': 2.5790436267852783, 'learning_rate': 7.407407407407407e-05, 'epoch': 0.02}
{'loss': 1.0862, 'grad_norm': 1.4281587600708008, 'learning_rate': 7.777777777777778e-05, 'epoch': 0.02}
{'loss': 1.2876, 'grad_norm': 1.7329132556915283, 'learning_rate': 8.148148148148148e-05, 'epoch': 0.03}
{'loss': 1.256, 'grad_norm': 1.5681283473968506, 'learning_rate': 8.518518518518518e-05, 'epoch': 0.03}
{'loss': 1.2956, 'grad_norm': 1.399516224861145, 'learning_rate': 8.888888888888889e-05, 'epoch': 0.03}
{'loss': 1.1769, 'grad_norm': 1.1770631074905396, 'learning_rate': 9.25925925925926e-05, 'epoch': 0.03}
{'loss': 0.9832, 'grad_norm': 1.048465371131897, 'learning_rate': 9.62962962962963e-05, 'epoch': 0.03}
{'loss': 1.0526, 'grad_norm': 1.3163795471191406, 'learning_rate': 0.0001, 'epoch': 0.03}
