                                                                                                                                                                                                                                                                                                                                                                                                                   
{'loss': 1.1168, 'grad_norm': 2.0077357677298453, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.9304, 'grad_norm': 1.9190281734584365, 'learning_rate': 3.846153846153847e-06, 'epoch': 0.0}
{'loss': 0.8612, 'grad_norm': 1.5067907590609286, 'learning_rate': 7.692307692307694e-06, 'epoch': 0.0}
{'loss': 0.8706, 'grad_norm': 1.5357179759561124, 'learning_rate': 1.153846153846154e-05, 'epoch': 0.0}
{'loss': 0.8618, 'grad_norm': 2.023776819350899, 'learning_rate': 1.5384615384615387e-05, 'epoch': 0.01}
{'loss': 0.8033, 'grad_norm': 1.710165010858329, 'learning_rate': 1.923076923076923e-05, 'epoch': 0.01}
{'loss': 0.8371, 'grad_norm': 2.187279086201255, 'learning_rate': 2.307692307692308e-05, 'epoch': 0.01}
{'loss': 1.1235, 'grad_norm': 1.6168886341842008, 'learning_rate': 2.6923076923076923e-05, 'epoch': 0.01}
{'loss': 0.9864, 'grad_norm': 1.886863475781486, 'learning_rate': 3.0769230769230774e-05, 'epoch': 0.01}
{'loss': 1.0667, 'grad_norm': 1.9402931676197823, 'learning_rate': 3.461538461538462e-05, 'epoch': 0.01}
{'loss': 0.9709, 'grad_norm': 1.8158438404819093, 'learning_rate': 3.846153846153846e-05, 'epoch': 0.01}
{'loss': 0.662, 'grad_norm': 1.3458833260486633, 'learning_rate': 4.230769230769231e-05, 'epoch': 0.01}
{'loss': 0.8356, 'grad_norm': 1.7113813647036662, 'learning_rate': 4.615384615384616e-05, 'epoch': 0.02}
{'loss': 0.8353, 'grad_norm': 1.636678937970154, 'learning_rate': 5e-05, 'epoch': 0.02}
{'loss': 0.8404, 'grad_norm': 1.9146480191537265, 'learning_rate': 5.384615384615385e-05, 'epoch': 0.02}
{'loss': 0.7039, 'grad_norm': 1.7529541792351677, 'learning_rate': 5.769230769230769e-05, 'epoch': 0.02}
{'loss': 0.4727, 'grad_norm': 1.5597385409859286, 'learning_rate': 6.153846153846155e-05, 'epoch': 0.02}
{'loss': 0.4609, 'grad_norm': 1.260730395576884, 'learning_rate': 6.538461538461539e-05, 'epoch': 0.02}
{'loss': 0.6231, 'grad_norm': 1.451685568958195, 'learning_rate': 6.923076923076924e-05, 'epoch': 0.02}
{'loss': 0.4687, 'grad_norm': 1.0611963517581313, 'learning_rate': 7.307692307692307e-05, 'epoch': 0.02}
{'loss': 0.5635, 'grad_norm': 1.0499785340417387, 'learning_rate': 7.692307692307693e-05, 'epoch': 0.02}
{'loss': 0.3094, 'grad_norm': 0.6041854263229226, 'learning_rate': 8.076923076923078e-05, 'epoch': 0.03}
{'loss': 0.3164, 'grad_norm': 0.5323931487105359, 'learning_rate': 8.461538461538461e-05, 'epoch': 0.03}
{'loss': 0.2381, 'grad_norm': 0.4116955114984002, 'learning_rate': 8.846153846153847e-05, 'epoch': 0.03}
{'loss': 0.3672, 'grad_norm': 0.6494740203092779, 'learning_rate': 9.230769230769232e-05, 'epoch': 0.03}
{'loss': 0.2176, 'grad_norm': 0.3819621477227975, 'learning_rate': 9.615384615384617e-05, 'epoch': 0.03}
{'loss': 0.2755, 'grad_norm': 0.43680024615505, 'learning_rate': 0.0001, 'epoch': 0.03}
{'loss': 0.2874, 'grad_norm': 0.4219083763754229, 'learning_rate': 9.99996303462589e-05, 'epoch': 0.03}
{'loss': 0.2561, 'grad_norm': 0.47336361902934954, 'learning_rate': 9.999852139050132e-05, 'epoch': 0.03}
{'loss': 0.3223, 'grad_norm': 0.5413987004499299, 'learning_rate': 9.999667314912448e-05, 'epoch': 0.04}
{'loss': 0.2951, 'grad_norm': 0.5182361905046297, 'learning_rate': 9.999408564945673e-05, 'epoch': 0.04}
{'loss': 0.2906, 'grad_norm': 0.9514129344055664, 'learning_rate': 9.999075892975724e-05, 'epoch': 0.04}
{'loss': 0.2776, 'grad_norm': 0.4775936249973999, 'learning_rate': 9.998669303921537e-05, 'epoch': 0.04}
{'loss': 0.2669, 'grad_norm': 0.4881402984095323, 'learning_rate': 9.998188803794998e-05, 'epoch': 0.04}
{'loss': 0.2257, 'grad_norm': 0.4457417300605836, 'learning_rate': 9.997634399700859e-05, 'epoch': 0.04}
{'loss': 0.113, 'grad_norm': 0.39385371515402456, 'learning_rate': 9.997006099836617e-05, 'epoch': 0.04}
