                                                                                                                                                                                                                                                                                     
{'loss': 1.1663, 'grad_norm': 1.8876659697783238, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.9884, 'grad_norm': 1.532227547702198, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.0}
{'loss': 0.9179, 'grad_norm': 1.639392667668415, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.0}
{'loss': 1.0089, 'grad_norm': 2.0328695315481813, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.0}
{'loss': 1.1171, 'grad_norm': 1.6526744759692322, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.01}
{'loss': 1.2726, 'grad_norm': 1.7329975436564686, 'learning_rate': 2e-06, 'epoch': 0.01}
{'loss': 0.7684, 'grad_norm': 1.3942695086781283, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.01}
{'loss': 1.1995, 'grad_norm': 1.5957051366570973, 'learning_rate': 2.8000000000000003e-06, 'epoch': 0.01}
{'loss': 1.009, 'grad_norm': 1.4313842542331006, 'learning_rate': 3.2000000000000003e-06, 'epoch': 0.01}
{'loss': 0.921, 'grad_norm': 1.4662607443756048, 'learning_rate': 3.6e-06, 'epoch': 0.01}
{'loss': 0.9541, 'grad_norm': 1.6204359054513424, 'learning_rate': 4e-06, 'epoch': 0.01}
{'loss': 0.9004, 'grad_norm': 1.5957568361415895, 'learning_rate': 4.4e-06, 'epoch': 0.01}
{'loss': 0.9084, 'grad_norm': 1.5090385567720734, 'learning_rate': 4.800000000000001e-06, 'epoch': 0.02}
{'loss': 1.0161, 'grad_norm': 1.463755036592541, 'learning_rate': 5.2e-06, 'epoch': 0.02}
{'loss': 0.9814, 'grad_norm': 3.5239173154535055, 'learning_rate': 5.600000000000001e-06, 'epoch': 0.02}
{'loss': 0.7385, 'grad_norm': 1.5271095463045294, 'learning_rate': 6e-06, 'epoch': 0.02}
{'loss': 1.0474, 'grad_norm': 1.650472254132213, 'learning_rate': 6.4000000000000006e-06, 'epoch': 0.02}
{'loss': 0.5948, 'grad_norm': 1.3820116992474694, 'learning_rate': 6.8e-06, 'epoch': 0.02}
{'loss': 0.8608, 'grad_norm': 1.5606933997837047, 'learning_rate': 7.2e-06, 'epoch': 0.02}
{'loss': 0.722, 'grad_norm': 1.9102821943201254, 'learning_rate': 7.600000000000001e-06, 'epoch': 0.02}
{'loss': 0.8411, 'grad_norm': 1.5707240678476913, 'learning_rate': 8e-06, 'epoch': 0.03}
{'loss': 0.8211, 'grad_norm': 1.4900669493851006, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.03}
{'loss': 0.9534, 'grad_norm': 1.652011710695057, 'learning_rate': 8.8e-06, 'epoch': 0.03}
{'loss': 0.8187, 'grad_norm': 1.7462046200824335, 'learning_rate': 9.2e-06, 'epoch': 0.03}
{'loss': 1.2185, 'grad_norm': 2.119461855825349, 'learning_rate': 9.600000000000001e-06, 'epoch': 0.03}
{'loss': 0.6566, 'grad_norm': 1.3652112660028546, 'learning_rate': 9.999999999999999e-06, 'epoch': 0.03}
{'loss': 0.9414, 'grad_norm': 1.776790580082684, 'learning_rate': 1.04e-05, 'epoch': 0.03}
{'loss': 0.8999, 'grad_norm': 1.8282796063148063, 'learning_rate': 1.08e-05, 'epoch': 0.03}
{'loss': 1.0616, 'grad_norm': 1.9482172577210903, 'learning_rate': 1.1200000000000001e-05, 'epoch': 0.03}
{'loss': 1.2087, 'grad_norm': 2.2157230053433477, 'learning_rate': 1.16e-05, 'epoch': 0.04}
{'loss': 0.9413, 'grad_norm': 2.0396039831323165, 'learning_rate': 1.2e-05, 'epoch': 0.04}
{'loss': 0.7603, 'grad_norm': 1.495032849151902, 'learning_rate': 1.24e-05, 'epoch': 0.04}
{'loss': 1.0032, 'grad_norm': 2.120443295207822, 'learning_rate': 1.2800000000000001e-05, 'epoch': 0.04}
{'loss': 1.1083, 'grad_norm': 2.034713758476573, 'learning_rate': 1.32e-05, 'epoch': 0.04}
{'loss': 0.8927, 'grad_norm': 1.9633817687903623, 'learning_rate': 1.36e-05, 'epoch': 0.04}
{'loss': 0.7164, 'grad_norm': 1.5813103054226605, 'learning_rate': 1.4e-05, 'epoch': 0.04}
{'loss': 0.9829, 'grad_norm': 2.173241690785768, 'learning_rate': 1.44e-05, 'epoch': 0.04}
{'loss': 0.8977, 'grad_norm': 2.0628948873299686, 'learning_rate': 1.48e-05, 'epoch': 0.05}
{'loss': 0.8982, 'grad_norm': 2.012133973530351, 'learning_rate': 1.5200000000000002e-05, 'epoch': 0.05}
{'loss': 0.9196, 'grad_norm': 2.161675057307328, 'learning_rate': 1.56e-05, 'epoch': 0.05}
{'loss': 0.6334, 'grad_norm': 1.6870100315778775, 'learning_rate': 1.6e-05, 'epoch': 0.05}
{'loss': 0.6093, 'grad_norm': 1.4088327632019082, 'learning_rate': 1.64e-05, 'epoch': 0.05}
{'loss': 0.9206, 'grad_norm': 2.5171957801086537, 'learning_rate': 1.6800000000000002e-05, 'epoch': 0.05}
{'loss': 0.5738, 'grad_norm': 1.6566345371838778, 'learning_rate': 1.72e-05, 'epoch': 0.05}
{'loss': 0.6487, 'grad_norm': 1.719978706387264, 'learning_rate': 1.76e-05, 'epoch': 0.05}
{'loss': 0.713, 'grad_norm': 1.7704610931435312, 'learning_rate': 1.8e-05, 'epoch': 0.06}
{'loss': 0.4355, 'grad_norm': 1.4195744448215626, 'learning_rate': 1.84e-05, 'epoch': 0.06}
{'loss': 0.5338, 'grad_norm': 1.3798872071229646, 'learning_rate': 1.8800000000000003e-05, 'epoch': 0.06}
{'loss': 0.3436, 'grad_norm': 1.2775033227293873, 'learning_rate': 1.9200000000000003e-05, 'epoch': 0.06}
{'loss': 0.5083, 'grad_norm': 1.3989154547541396, 'learning_rate': 1.96e-05, 'epoch': 0.06}
{'loss': 0.4571, 'grad_norm': 1.1096437302097164, 'learning_rate': 1.9999999999999998e-05, 'epoch': 0.06}
{'loss': 0.4544, 'grad_norm': 1.100043338191041, 'learning_rate': 2.04e-05, 'epoch': 0.06}
{'loss': 0.3514, 'grad_norm': 1.080164151498393, 'learning_rate': 2.08e-05, 'epoch': 0.06}
{'loss': 0.249, 'grad_norm': 0.8422192734057006, 'learning_rate': 2.12e-05, 'epoch': 0.07}
{'loss': 0.6553, 'grad_norm': 1.3083180255042801, 'learning_rate': 2.16e-05, 'epoch': 0.07}
{'loss': 0.4679, 'grad_norm': 0.935452239231082, 'learning_rate': 2.2e-05, 'epoch': 0.07}
{'loss': 0.4647, 'grad_norm': 0.9895370453167593, 'learning_rate': 2.2400000000000002e-05, 'epoch': 0.07}
{'loss': 0.4161, 'grad_norm': 0.9086978853523943, 'learning_rate': 2.2800000000000002e-05, 'epoch': 0.07}
{'loss': 0.3201, 'grad_norm': 0.6352734953411439, 'learning_rate': 2.32e-05, 'epoch': 0.07}
{'loss': 0.3211, 'grad_norm': 0.7129372696773769, 'learning_rate': 2.3599999999999998e-05, 'epoch': 0.07}
{'loss': 0.332, 'grad_norm': 0.5170014312288033, 'learning_rate': 2.4e-05, 'epoch': 0.07}
{'loss': 0.2271, 'grad_norm': 0.5495107718464649, 'learning_rate': 2.44e-05, 'epoch': 0.07}
