                                                                                                                                                                                                                                                                                     
{'loss': 1.0408, 'grad_norm': 1.7546334318287995, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.9042, 'grad_norm': 1.3398002691175996, 'learning_rate': 1.5e-06, 'epoch': 0.0}
{'loss': 0.7808, 'grad_norm': 1.430345962141908, 'learning_rate': 3e-06, 'epoch': 0.0}
{'loss': 0.8878, 'grad_norm': 1.7609456109599695, 'learning_rate': 4.5e-06, 'epoch': 0.01}
{'loss': 0.8006, 'grad_norm': 1.5934123665129878, 'learning_rate': 6e-06, 'epoch': 0.01}
{'loss': 1.0959, 'grad_norm': 1.724625906017013, 'learning_rate': 7.5e-06, 'epoch': 0.01}
{'loss': 0.4883, 'grad_norm': 1.4161333334670596, 'learning_rate': 9e-06, 'epoch': 0.01}
{'loss': 0.9882, 'grad_norm': 1.7677920303256687, 'learning_rate': 1.05e-05, 'epoch': 0.01}
{'loss': 0.9, 'grad_norm': 1.8074901194415958, 'learning_rate': 1.2e-05, 'epoch': 0.01}
{'loss': 0.9075, 'grad_norm': 1.708355783794972, 'learning_rate': 1.3500000000000001e-05, 'epoch': 0.02}
{'loss': 1.2577, 'grad_norm': 2.062998984362003, 'learning_rate': 1.5e-05, 'epoch': 0.02}
{'loss': 1.2579, 'grad_norm': 1.9703598207653639, 'learning_rate': 1.65e-05, 'epoch': 0.02}
{'loss': 1.0988, 'grad_norm': 2.1499132036664994, 'learning_rate': 1.8e-05, 'epoch': 0.02}
{'loss': 1.1666, 'grad_norm': 1.9528966606088318, 'learning_rate': 1.95e-05, 'epoch': 0.02}
{'loss': 0.5354, 'grad_norm': 1.1838874572213616, 'learning_rate': 2.1e-05, 'epoch': 0.02}
{'loss': 1.1267, 'grad_norm': 1.818901829497437, 'learning_rate': 2.25e-05, 'epoch': 0.02}
{'loss': 0.7325, 'grad_norm': 1.5640766041795486, 'learning_rate': 2.4e-05, 'epoch': 0.03}
{'loss': 0.9055, 'grad_norm': 2.240248291720256, 'learning_rate': 2.55e-05, 'epoch': 0.03}
{'loss': 0.9807, 'grad_norm': 1.9387498464715973, 'learning_rate': 2.7000000000000002e-05, 'epoch': 0.03}
{'loss': 0.7258, 'grad_norm': 2.401476586797651, 'learning_rate': 2.8499999999999998e-05, 'epoch': 0.03}
{'loss': 0.8747, 'grad_norm': 1.8089719106489064, 'learning_rate': 3e-05, 'epoch': 0.03}
{'loss': 0.6965, 'grad_norm': 1.5939330281086161, 'learning_rate': 2.999981700218915e-05, 'epoch': 0.03}
{'loss': 0.9444, 'grad_norm': 1.980267842785002, 'learning_rate': 2.9999268013221688e-05, 'epoch': 0.04}
{'loss': 0.9995, 'grad_norm': 2.3313757682455223, 'learning_rate': 2.9998353046492783e-05, 'epoch': 0.04}
{'loss': 0.6085, 'grad_norm': 1.4580852910641082, 'learning_rate': 2.9997072124327365e-05, 'epoch': 0.04}
{'loss': 0.6506, 'grad_norm': 1.7107142068165082, 'learning_rate': 2.999542527797955e-05, 'epoch': 0.04}
{'loss': 0.5512, 'grad_norm': 1.4822241824202573, 'learning_rate': 2.999341254763192e-05, 'epoch': 0.04}
{'loss': 0.5328, 'grad_norm': 1.4868758737475967, 'learning_rate': 2.9991033982394492e-05, 'epoch': 0.04}
{'loss': 0.513, 'grad_norm': 1.3074264815792203, 'learning_rate': 2.9988289640303578e-05, 'epoch': 0.04}
{'loss': 0.4354, 'grad_norm': 1.1980874831832828, 'learning_rate': 2.9985179588320318e-05, 'epoch': 0.05}
{'loss': 0.4255, 'grad_norm': 0.910322966121134, 'learning_rate': 2.9981703902329074e-05, 'epoch': 0.05}
{'loss': 0.3992, 'grad_norm': 0.7966598417203848, 'learning_rate': 2.997786266713557e-05, 'epoch': 0.05}
{'loss': 0.2814, 'grad_norm': 0.6744786465374972, 'learning_rate': 2.9973655976464824e-05, 'epoch': 0.05}
{'loss': 0.422, 'grad_norm': 0.7793091814301272, 'learning_rate': 2.9969083932958854e-05, 'epoch': 0.05}
{'loss': 0.3469, 'grad_norm': 0.6443069731083126, 'learning_rate': 2.9964146648174195e-05, 'epoch': 0.05}
{'loss': 0.4286, 'grad_norm': 0.7638692941068952, 'learning_rate': 2.9958844242579152e-05, 'epoch': 0.05}
{'loss': 0.4532, 'grad_norm': 0.6713936628062156, 'learning_rate': 2.9953176845550874e-05, 'epoch': 0.06}
{'loss': 0.2035, 'grad_norm': 0.40729772338990655, 'learning_rate': 2.9947144595372195e-05, 'epoch': 0.06}
{'loss': 0.3077, 'grad_norm': 0.4543530556495058, 'learning_rate': 2.9940747639228255e-05, 'epoch': 0.06}
{'loss': 0.2256, 'grad_norm': 0.40072441901618944, 'learning_rate': 2.9933986133202917e-05, 'epoch': 0.06}
{'loss': 0.3045, 'grad_norm': 0.5822752605629069, 'learning_rate': 2.9926860242274964e-05, 'epoch': 0.06}
{'loss': 0.2637, 'grad_norm': 0.4667962627762139, 'learning_rate': 2.991937014031404e-05, 'epoch': 0.06}
