                                                                                                                                                                                                                                                                                                                                                                      
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 0.0, 'num_tokens': 8813.0, 'completions/mean_length': 43.3125, 'completions/min_length': 23.0, 'completions/max_length': 60.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 43.3125, 'completions/min_terminated_length': 23.0, 'completions/max_terminated_length': 60.0, 'rewards/capnav_reward/mean': 0.3333333432674408, 'rewards/capnav_reward/std': 0.3442651927471161, 'reward': 0.3333333432674408, 'reward_std': 0.3442651927471161, 'frac_reward_zero_std': 1.0, 'entropy': 0.024928469210863113, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 24.202027689199895, 'epoch': 0.0}
{'loss': 0.0147, 'grad_norm': 0.5205176625636698, 'learning_rate': 1.2658227848101266e-07, 'num_tokens': 16984.0, 'completions/mean_length': 39.1875, 'completions/min_length': 19.0, 'completions/max_length': 82.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 39.1875, 'completions/min_terminated_length': 19.0, 'completions/max_terminated_length': 82.0, 'rewards/capnav_reward/mean': 0.7708333730697632, 'rewards/capnav_reward/std': 0.26440009474754333, 'reward': 0.7708333730697632, 'reward_std': 0.26440009474754333, 'frac_reward_zero_std': 0.5, 'entropy': 0.1700831961352378, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 22.391391991870478, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.5316455696202533e-07, 'num_tokens': 23664.0, 'completions/mean_length': 20.5, 'completions/min_length': 20.0, 'completions/max_length': 21.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 20.5, 'completions/min_terminated_length': 20.0, 'completions/max_terminated_length': 21.0, 'rewards/capnav_reward/mean': 1.0, 'rewards/capnav_reward/std': 0.0, 'reward': 1.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'entropy': 0.02138817240484059, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.79646809399128, 'epoch': 0.0}
{'loss': 0.6649, 'grad_norm': 1.0926715232806108, 'learning_rate': 3.79746835443038e-07, 'num_tokens': 31806.0, 'completions/mean_length': 39.875, 'completions/min_length': 21.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 0.0625, 'completions/mean_terminated_length': 25.46666717529297, 'completions/min_terminated_length': 21.0, 'completions/max_terminated_length': 46.0, 'rewards/capnav_reward/mean': 0.5416666865348816, 'rewards/capnav_reward/std': 0.3824869990348816, 'reward': 0.5416666865348816, 'reward_std': 0.3824869692325592, 'frac_reward_zero_std': 0.0, 'entropy': 0.12493820348754525, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 39.87359270360321, 'epoch': 0.0}
{'loss': -0.1082, 'grad_norm': 1.1696743525957707, 'learning_rate': 5.063291139240507e-07, 'num_tokens': 39279.0, 'completions/mean_length': 26.0625, 'completions/min_length': 16.0, 'completions/max_length': 35.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 26.0625, 'completions/min_terminated_length': 16.0, 'completions/max_terminated_length': 35.0, 'rewards/capnav_reward/mean': 0.6875, 'rewards/capnav_reward/std': 0.37453675270080566, 'reward': 0.6875, 'reward_std': 0.37453675270080566, 'frac_reward_zero_std': 0.0, 'entropy': 0.0420184014365077, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 18.274473728379235, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 6.329113924050634e-07, 'num_tokens': 45743.0, 'completions/mean_length': 21.0, 'completions/min_length': 19.0, 'completions/max_length': 23.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 21.0, 'completions/min_terminated_length': 19.0, 'completions/max_terminated_length': 23.0, 'rewards/capnav_reward/mean': 1.0, 'rewards/capnav_reward/std': 0.0, 'reward': 1.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'entropy': 0.025757674360647798, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 15.972839408786967, 'epoch': 0.0}
{'loss': -0.1253, 'grad_norm': 0.4129213180927084, 'learning_rate': 7.59493670886076e-07, 'num_tokens': 53776.0, 'completions/mean_length': 56.5625, 'completions/min_length': 19.0, 'completions/max_length': 66.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 56.5625, 'completions/min_terminated_length': 19.0, 'completions/max_terminated_length': 66.0, 'rewards/capnav_reward/mean': 0.6041666865348816, 'rewards/capnav_reward/std': 0.18130189180374146, 'reward': 0.6041666865348816, 'reward_std': 0.18130187690258026, 'frac_reward_zero_std': 0.0, 'entropy': 0.0393255902454257, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 20.703779510688037, 'epoch': 0.0}
{'loss': -0.1848, 'grad_norm': 0.27650096912441, 'learning_rate': 8.860759493670887e-07, 'num_tokens': 61817.0, 'completions/mean_length': 33.5625, 'completions/min_length': 7.0, 'completions/max_length': 48.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 33.5625, 'completions/min_terminated_length': 7.0, 'completions/max_terminated_length': 48.0, 'rewards/capnav_reward/mean': 0.6458333730697632, 'rewards/capnav_reward/std': 0.37453675270080566, 'reward': 0.6458333730697632, 'reward_std': 0.37453675270080566, 'frac_reward_zero_std': 0.5, 'entropy': 0.03271789010614157, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 19.222136906115338, 'epoch': 0.0}
{'loss': -0.0323, 'grad_norm': 1.046335751342897, 'learning_rate': 1.0126582278481013e-06, 'num_tokens': 67587.0, 'completions/mean_length': 19.625, 'completions/min_length': 17.0, 'completions/max_length': 25.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 19.625, 'completions/min_terminated_length': 17.0, 'completions/max_terminated_length': 25.0, 'rewards/capnav_reward/mean': 0.7916666865348816, 'rewards/capnav_reward/std': 0.3191423714160919, 'reward': 0.7916666865348816, 'reward_std': 0.31914234161376953, 'frac_reward_zero_std': 0.5, 'entropy': 0.04748543864116073, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.45826751436107, 'epoch': 0.0}
{'loss': 0.0143, 'grad_norm': 0.5231765979877706, 'learning_rate': 1.139240506329114e-06, 'num_tokens': 76423.0, 'completions/mean_length': 28.25, 'completions/min_length': 22.0, 'completions/max_length': 42.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.25, 'completions/min_terminated_length': 22.0, 'completions/max_terminated_length': 42.0, 'rewards/capnav_reward/mean': 0.5833333730697632, 'rewards/capnav_reward/std': 0.3333333432674408, 'reward': 0.5833333730697632, 'reward_std': 0.3333333432674408, 'frac_reward_zero_std': 0.5, 'entropy': 0.029214817564934492, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 18.42272256896831, 'epoch': 0.0}
{'loss': -0.0026, 'grad_norm': 0.577368467973764, 'learning_rate': 1.2658227848101267e-06, 'num_tokens': 84174.0, 'completions/mean_length': 38.9375, 'completions/min_length': 19.0, 'completions/max_length': 68.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 38.9375, 'completions/min_terminated_length': 19.0, 'completions/max_terminated_length': 68.0, 'rewards/capnav_reward/mean': 0.625, 'rewards/capnav_reward/std': 0.40138646960258484, 'reward': 0.625, 'reward_std': 0.4013864994049072, 'frac_reward_zero_std': 0.5, 'entropy': 0.05930196982808411, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 19.893518508644775, 'epoch': 0.0}
{'loss': -0.0656, 'grad_norm': 0.45278243246158817, 'learning_rate': 1.3924050632911392e-06, 'num_tokens': 92505.0, 'completions/mean_length': 37.6875, 'completions/min_length': 17.0, 'completions/max_length': 46.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 37.6875, 'completions/min_terminated_length': 17.0, 'completions/max_terminated_length': 46.0, 'rewards/capnav_reward/mean': 0.625, 'rewards/capnav_reward/std': 0.1666666716337204, 'reward': 0.625, 'reward_std': 0.1666666716337204, 'frac_reward_zero_std': 0.5, 'entropy': 0.06095464760437608, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 18.84550634608604, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.518987341772152e-06, 'num_tokens': 101185.0, 'completions/mean_length': 55.5, 'completions/min_length': 41.0, 'completions/max_length': 94.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 55.5, 'completions/min_terminated_length': 41.0, 'completions/max_terminated_length': 94.0, 'rewards/capnav_reward/mean': 0.6666666865348816, 'rewards/capnav_reward/std': 0.0, 'reward': 0.6666666865348816, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'entropy': 0.028690096456557512, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 23.46510040992871, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.6455696202531647e-06, 'num_tokens': 109487.0, 'completions/mean_length': 34.875, 'completions/min_length': 19.0, 'completions/max_length': 76.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 34.875, 'completions/min_terminated_length': 19.0, 'completions/max_terminated_length': 76.0, 'rewards/capnav_reward/mean': 0.8333333730697632, 'rewards/capnav_reward/std': 0.17213258147239685, 'reward': 0.8333333730697632, 'reward_std': 0.17213258147239685, 'frac_reward_zero_std': 1.0, 'entropy': 0.023491039406508207, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 21.294783115154132, 'epoch': 0.0}
{'loss': -0.0648, 'grad_norm': 1.4755767527987667, 'learning_rate': 1.7721518987341774e-06, 'num_tokens': 117317.0, 'completions/mean_length': 23.875, 'completions/min_length': 11.0, 'completions/max_length': 30.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 23.875, 'completions/min_terminated_length': 11.0, 'completions/max_terminated_length': 30.0, 'rewards/capnav_reward/mean': 0.875, 'rewards/capnav_reward/std': 0.3415650427341461, 'reward': 0.875, 'reward_std': 0.34156501293182373, 'frac_reward_zero_std': 0.0, 'entropy': 0.11335786152631044, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 18.351814174791798, 'epoch': 0.0}
{'loss': 0.033, 'grad_norm': 0.9460001745274181, 'learning_rate': 1.8987341772151901e-06, 'num_tokens': 125770.0, 'completions/mean_length': 17.3125, 'completions/min_length': 8.0, 'completions/max_length': 35.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 17.3125, 'completions/min_terminated_length': 8.0, 'completions/max_terminated_length': 35.0, 'rewards/capnav_reward/mean': 0.8958333730697632, 'rewards/capnav_reward/std': 0.291070818901062, 'reward': 0.8958333730697632, 'reward_std': 0.291070818901062, 'frac_reward_zero_std': 0.5, 'entropy': 0.03982321126386523, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.380164560163394, 'epoch': 0.0}
{'loss': 0.2358, 'grad_norm': 0.8505015521622321, 'learning_rate': 2.0253164556962026e-06, 'num_tokens': 132349.0, 'completions/mean_length': 49.1875, 'completions/min_length': 24.0, 'completions/max_length': 241.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 49.1875, 'completions/min_terminated_length': 24.0, 'completions/max_terminated_length': 241.0, 'rewards/capnav_reward/mean': 0.7916666865348816, 'rewards/capnav_reward/std': 0.2063797265291214, 'reward': 0.7916666865348816, 'reward_std': 0.2063797116279602, 'frac_reward_zero_std': 0.5, 'entropy': 0.17683638888411224, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 35.75326541997492, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.1518987341772153e-06, 'num_tokens': 140421.0, 'completions/mean_length': 30.0, 'completions/min_length': 29.0, 'completions/max_length': 31.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 30.0, 'completions/min_terminated_length': 29.0, 'completions/max_terminated_length': 31.0, 'rewards/capnav_reward/mean': 1.0, 'rewards/capnav_reward/std': 0.0, 'reward': 1.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'entropy': 0.010130546055734158, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.83728027390316, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.278481012658228e-06, 'num_tokens': 147893.0, 'completions/mean_length': 31.5, 'completions/min_length': 31.0, 'completions/max_length': 32.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.5, 'completions/min_terminated_length': 31.0, 'completions/max_terminated_length': 32.0, 'rewards/capnav_reward/mean': 1.0, 'rewards/capnav_reward/std': 0.0, 'reward': 1.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'entropy': 0.01354069891385734, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.906182281905785, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.4050632911392408e-06, 'num_tokens': 156013.0, 'completions/mean_length': 21.5, 'completions/min_length': 18.0, 'completions/max_length': 25.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 21.5, 'completions/min_terminated_length': 18.0, 'completions/max_terminated_length': 25.0, 'rewards/capnav_reward/mean': 1.0, 'rewards/capnav_reward/std': 0.0, 'reward': 1.0, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'entropy': 0.013934732880443335, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 16.693980319891125, 'epoch': 0.0}
{'loss': 0.1919, 'grad_norm': 1.5665733917387579, 'learning_rate': 2.5316455696202535e-06, 'num_tokens': 163730.0, 'completions/mean_length': 29.8125, 'completions/min_length': 24.0, 'completions/max_length': 68.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 29.8125, 'completions/min_terminated_length': 24.0, 'completions/max_terminated_length': 68.0, 'rewards/capnav_reward/mean': 0.9375, 'rewards/capnav_reward/std': 0.25, 'reward': 0.9375, 'reward_std': 0.25, 'frac_reward_zero_std': 0.5, 'entropy': 0.03724084491841495, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 20.393609293038025, 'epoch': 0.0}
{'loss': -0.04, 'grad_norm': 0.6009673529406763, 'learning_rate': 2.6582278481012658e-06, 'num_tokens': 170659.0, 'completions/mean_length': 27.0625, 'completions/min_length': 23.0, 'completions/max_length': 32.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 27.0625, 'completions/min_terminated_length': 23.0, 'completions/max_terminated_length': 32.0, 'rewards/capnav_reward/mean': 0.9375, 'rewards/capnav_reward/std': 0.25, 'reward': 0.9375, 'reward_std': 0.25, 'frac_reward_zero_std': 0.5, 'entropy': 0.010448518791235983, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.146757889306173, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.7848101265822785e-06, 'num_tokens': 179935.0, 'completions/mean_length': 39.75, 'completions/min_length': 23.0, 'completions/max_length': 63.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 39.75, 'completions/min_terminated_length': 23.0, 'completions/max_terminated_length': 63.0, 'rewards/capnav_reward/mean': 0.5, 'rewards/capnav_reward/std': 0.17213259637355804, 'reward': 0.5, 'reward_std': 0.17213259637355804, 'frac_reward_zero_std': 1.0, 'entropy': 0.014697245322167873, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 20.487201317213476, 'epoch': 0.0}
{'loss': -0.041, 'grad_norm': 0.5876216935340062, 'learning_rate': 2.9113924050632912e-06, 'num_tokens': 186617.0, 'completions/mean_length': 22.625, 'completions/min_length': 19.0, 'completions/max_length': 25.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 22.625, 'completions/min_terminated_length': 19.0, 'completions/max_terminated_length': 25.0, 'rewards/capnav_reward/mean': 0.9583333730697632, 'rewards/capnav_reward/std': 0.1666666567325592, 'reward': 0.9583333730697632, 'reward_std': 0.1666666716337204, 'frac_reward_zero_std': 0.5, 'entropy': 0.023945544846355915, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 15.94833050784655, 'epoch': 0.0}
{'loss': -0.0069, 'grad_norm': 0.2694812709309518, 'learning_rate': 3.037974683544304e-06, 'num_tokens': 194039.0, 'completions/mean_length': 44.875, 'completions/min_length': 42.0, 'completions/max_length': 48.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 44.875, 'completions/min_terminated_length': 42.0, 'completions/max_terminated_length': 48.0, 'rewards/capnav_reward/mean': 0.6458333730697632, 'rewards/capnav_reward/std': 0.0833333358168602, 'reward': 0.6458333730697632, 'reward_std': 0.0833333358168602, 'frac_reward_zero_std': 0.5, 'entropy': 0.011435562162660062, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 18.61180995963514, 'epoch': 0.0}
{'loss': 1.1427, 'grad_norm': 1.6964449459810869, 'learning_rate': 3.164556962025317e-06, 'num_tokens': 200433.0, 'completions/mean_length': 32.125, 'completions/min_length': 7.0, 'completions/max_length': 256.0, 'completions/clipped_ratio': 0.0625, 'completions/mean_terminated_length': 17.200000762939453, 'completions/min_terminated_length': 7.0, 'completions/max_terminated_length': 32.0, 'rewards/capnav_reward/mean': 0.8333333730697632, 'rewards/capnav_reward/std': 0.3651483952999115, 'reward': 0.8333333730697632, 'reward_std': 0.3651483952999115, 'frac_reward_zero_std': 0.0, 'entropy': 0.11713646538555622, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 40.260222574928775, 'epoch': 0.0}
