                                                                                                                                                                                                                                                                                                                                                                      
{'loss': 0.1659, 'grad_norm': 1.4087805142657537, 'learning_rate': 0.0, 'num_tokens': 6527.0, 'completions/mean_length': 21.4375, 'completions/min_length': 8.0, 'completions/max_length': 55.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 21.4375, 'completions/min_terminated_length': 8.0, 'completions/max_terminated_length': 55.0, 'rewards/capnav_reward/mean': 0.875, 'rewards/capnav_reward/std': 0.3415650427341461, 'reward': 0.875, 'reward_std': 0.34156501293182373, 'frac_reward_zero_std': 0.0, 'entropy': 0.08690047776326537, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 17.31119045591913, 'epoch': 0.0}
{'loss': 0.2636, 'grad_norm': 0.9944496020654594, 'learning_rate': 1.2658227848101266e-07, 'num_tokens': 13164.0, 'completions/mean_length': 32.8125, 'completions/min_length': 10.0, 'completions/max_length': 151.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 32.8125, 'completions/min_terminated_length': 10.0, 'completions/max_terminated_length': 151.0, 'rewards/capnav_reward/mean': 0.7083333134651184, 'rewards/capnav_reward/std': 0.45338237285614014, 'reward': 0.7083333134651184, 'reward_std': 0.45338234305381775, 'frac_reward_zero_std': 0.0, 'entropy': 0.17829273967072368, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 21.527672251453623, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 2.5316455696202533e-07, 'num_tokens': 20484.0, 'completions/mean_length': 38.0, 'completions/min_length': 23.0, 'completions/max_length': 53.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 38.0, 'completions/min_terminated_length': 23.0, 'completions/max_terminated_length': 53.0, 'rewards/capnav_reward/mean': 0.8333333730697632, 'rewards/capnav_reward/std': 0.17213258147239685, 'reward': 0.8333333730697632, 'reward_std': 0.17213258147239685, 'frac_reward_zero_std': 1.0, 'entropy': 0.016071223188191652, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.263481855625287, 'epoch': 0.0}
{'loss': -0.1414, 'grad_norm': 0.3354385523257447, 'learning_rate': 3.79746835443038e-07, 'num_tokens': 27804.0, 'completions/mean_length': 27.5, 'completions/min_length': 7.0, 'completions/max_length': 33.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 27.5, 'completions/min_terminated_length': 7.0, 'completions/max_terminated_length': 33.0, 'rewards/capnav_reward/mean': 0.7916666865348816, 'rewards/capnav_reward/std': 0.2687419056892395, 'reward': 0.7916666865348816, 'reward_std': 0.2687419056892395, 'frac_reward_zero_std': 0.5, 'entropy': 0.027687424793839455, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.176494463114068, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 5.063291139240507e-07, 'num_tokens': 35188.0, 'completions/mean_length': 22.0, 'completions/min_length': 17.0, 'completions/max_length': 27.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 22.0, 'completions/min_terminated_length': 17.0, 'completions/max_terminated_length': 27.0, 'rewards/capnav_reward/mean': 0.6666666865348816, 'rewards/capnav_reward/std': 0.3442651927471161, 'reward': 0.6666666865348816, 'reward_std': 0.3442651629447937, 'frac_reward_zero_std': 1.0, 'entropy': 0.015346817905083299, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 10.00234849494882, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 6.329113924050634e-07, 'num_tokens': 42892.0, 'completions/mean_length': 32.0, 'completions/min_length': 19.0, 'completions/max_length': 45.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 32.0, 'completions/min_terminated_length': 19.0, 'completions/max_terminated_length': 45.0, 'rewards/capnav_reward/mean': 0.8333333730697632, 'rewards/capnav_reward/std': 0.17213258147239685, 'reward': 0.8333333730697632, 'reward_std': 0.17213258147239685, 'frac_reward_zero_std': 1.0, 'entropy': 0.01811066595837474, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.032964072190225, 'epoch': 0.0}
{'loss': -0.0629, 'grad_norm': 0.4050966659191087, 'learning_rate': 7.59493670886076e-07, 'num_tokens': 50331.0, 'completions/mean_length': 43.4375, 'completions/min_length': 26.0, 'completions/max_length': 53.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 43.4375, 'completions/min_terminated_length': 26.0, 'completions/max_terminated_length': 53.0, 'rewards/capnav_reward/mean': 0.625, 'rewards/capnav_reward/std': 0.11385501176118851, 'reward': 0.625, 'reward_std': 0.11385501176118851, 'frac_reward_zero_std': 0.5, 'entropy': 0.020264924271032214, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.463608456775546, 'epoch': 0.0}
{'loss': 0.0632, 'grad_norm': 0.4052454115632769, 'learning_rate': 8.860759493670887e-07, 'num_tokens': 57040.0, 'completions/mean_length': 31.8125, 'completions/min_length': 26.0, 'completions/max_length': 39.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.8125, 'completions/min_terminated_length': 26.0, 'completions/max_terminated_length': 39.0, 'rewards/capnav_reward/mean': 0.7916666865348816, 'rewards/capnav_reward/std': 0.2063797265291214, 'reward': 0.7916666865348816, 'reward_std': 0.2063797265291214, 'frac_reward_zero_std': 0.5, 'entropy': 0.03152773668989539, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 11.495543234981596, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.0126582278481013e-06, 'num_tokens': 63592.0, 'completions/mean_length': 46.0, 'completions/min_length': 36.0, 'completions/max_length': 60.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 46.0, 'completions/min_terminated_length': 36.0, 'completions/max_terminated_length': 60.0, 'rewards/capnav_reward/mean': 0.6666666865348816, 'rewards/capnav_reward/std': 0.0, 'reward': 0.6666666865348816, 'reward_std': 0.0, 'frac_reward_zero_std': 1.0, 'entropy': 0.03896385710686445, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.252031263662502, 'epoch': 0.0}
{'loss': -0.0352, 'grad_norm': 0.3895534024609689, 'learning_rate': 1.139240506329114e-06, 'num_tokens': 71938.0, 'completions/mean_length': 35.125, 'completions/min_length': 18.0, 'completions/max_length': 47.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 35.125, 'completions/min_terminated_length': 18.0, 'completions/max_terminated_length': 47.0, 'rewards/capnav_reward/mean': 0.7916666865348816, 'rewards/capnav_reward/std': 0.2063797265291214, 'reward': 0.7916666865348816, 'reward_std': 0.2063797116279602, 'frac_reward_zero_std': 0.5, 'entropy': 0.02293325401842594, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 12.30254211416468, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 1.2658227848101267e-06, 'num_tokens': 78905.0, 'completions/mean_length': 31.9375, 'completions/min_length': 23.0, 'completions/max_length': 58.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 31.9375, 'completions/min_terminated_length': 23.0, 'completions/max_terminated_length': 58.0, 'rewards/capnav_reward/mean': 0.8333333730697632, 'rewards/capnav_reward/std': 0.17213258147239685, 'reward': 0.8333333730697632, 'reward_std': 0.17213258147239685, 'frac_reward_zero_std': 1.0, 'entropy': 0.027221620548516512, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 13.280588812893257, 'epoch': 0.0}
