  0%|          | 0/5242 [00:00<?, ?it/s]/scr/anaconda3_xiasu/envs/general/lib/python3.10/site-packages/torch/utils/data/dataloader.py:627: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
  0%|          | 17/5242 [57:44<244:03:08, 168.15s/it]
{'loss': 0.0586, 'grad_norm': 0.2656560533062629, 'learning_rate': 0.0, 'num_tokens': 17008.0, 'completions/mean_length': 32.0, 'completions/min_length': 29.0, 'completions/max_length': 50.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 32.0, 'completions/min_terminated_length': 29.0, 'completions/max_terminated_length': 50.0, 'rewards/capnav_reward/mean': 0.6458333730697632, 'rewards/capnav_reward/std': 0.3380048871040344, 'reward': 0.6458333730697632, 'reward_std': 0.3380048871040344, 'frac_reward_zero_std': 0.5, 'entropy': 0.021721308585256338, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 162.8449390269816, 'epoch': 0.0}
{'loss': 2.31, 'grad_norm': 1.0941094643372462, 'learning_rate': 1.2658227848101266e-07, 'num_tokens': 32122.0, 'completions/mean_length': 50.8125, 'completions/min_length': 17.0, 'completions/max_length': 1024.0, 'completions/clipped_ratio': 0.03125, 'completions/mean_terminated_length': 19.419353485107422, 'completions/min_terminated_length': 17.0, 'completions/max_terminated_length': 21.0, 'rewards/capnav_reward/mean': 0.9479166865348816, 'rewards/capnav_reward/std': 0.20927207171916962, 'reward': 0.9479166865348816, 'reward_std': 0.2092720866203308, 'frac_reward_zero_std': 0.0, 'entropy': 0.16025993647053838, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 380.2703896400053, 'epoch': 0.0}
{'loss': 0.208, 'grad_norm': 0.5716015450495846, 'learning_rate': 2.5316455696202533e-07, 'num_tokens': 47196.0, 'completions/mean_length': 54.0625, 'completions/min_length': 7.0, 'completions/max_length': 529.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 54.0625, 'completions/min_terminated_length': 7.0, 'completions/max_terminated_length': 529.0, 'rewards/capnav_reward/mean': 0.7395833730697632, 'rewards/capnav_reward/std': 0.3249965310096741, 'reward': 0.7395833730697632, 'reward_std': 0.32499656081199646, 'frac_reward_zero_std': 0.0, 'entropy': 0.3110780967399478, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 255.25313062686473, 'epoch': 0.0}
{'loss': 0.1691, 'grad_norm': 1.0651363991859206, 'learning_rate': 3.79746835443038e-07, 'num_tokens': 59543.0, 'completions/mean_length': 27.34375, 'completions/min_length': 19.0, 'completions/max_length': 77.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 27.34375, 'completions/min_terminated_length': 19.0, 'completions/max_terminated_length': 77.0, 'rewards/capnav_reward/mean': 0.84375, 'rewards/capnav_reward/std': 0.30508679151535034, 'reward': 0.84375, 'reward_std': 0.30508679151535034, 'frac_reward_zero_std': 0.0, 'entropy': 0.079563083127141, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 144.84934190870263, 'epoch': 0.0}
{'loss': 0.7508, 'grad_norm': 0.8461969343070833, 'learning_rate': 5.063291139240507e-07, 'num_tokens': 75928.0, 'completions/mean_length': 50.53125, 'completions/min_length': 20.0, 'completions/max_length': 342.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 50.53125, 'completions/min_terminated_length': 20.0, 'completions/max_terminated_length': 342.0, 'rewards/capnav_reward/mean': 0.875, 'rewards/capnav_reward/std': 0.33601075410842896, 'reward': 0.875, 'reward_std': 0.33601075410842896, 'frac_reward_zero_std': 0.0, 'entropy': 0.15416890289634466, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 245.11477283295244, 'epoch': 0.0}
{'loss': 0.0, 'grad_norm': 0.0, 'learning_rate': 6.329113924050634e-07, 'num_tokens': 91091.0, 'completions/mean_length': 45.84375, 'completions/min_length': 14.0, 'completions/max_length': 103.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 45.84375, 'completions/min_terminated_length': 14.0, 'completions/max_terminated_length': 103.0, 'rewards/capnav_reward/mean': 0.8333333730697632, 'rewards/capnav_reward/std': 0.16933348774909973, 'reward': 0.8333333730697632, 'reward_std': 0.16933348774909973, 'frac_reward_zero_std': 1.0, 'entropy': 0.03419434791430831, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 169.13311748509295, 'epoch': 0.0}
{'loss': -0.0324, 'grad_norm': 0.6098649318665313, 'learning_rate': 7.59493670886076e-07, 'num_tokens': 104908.0, 'completions/mean_length': 25.28125, 'completions/min_length': 12.0, 'completions/max_length': 32.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 25.28125, 'completions/min_terminated_length': 12.0, 'completions/max_terminated_length': 32.0, 'rewards/capnav_reward/mean': 0.96875, 'rewards/capnav_reward/std': 0.1767766922712326, 'reward': 0.96875, 'reward_std': 0.1767766922712326, 'frac_reward_zero_std': 0.5, 'entropy': 0.01754081016406417, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 98.03366700164042, 'epoch': 0.0}
{'loss': 0.1302, 'grad_norm': 0.4077620076988681, 'learning_rate': 8.860759493670887e-07, 'num_tokens': 120351.0, 'completions/mean_length': 62.09375, 'completions/min_length': 25.0, 'completions/max_length': 849.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 62.09375, 'completions/min_terminated_length': 25.0, 'completions/max_terminated_length': 849.0, 'rewards/capnav_reward/mean': 0.8020833730697632, 'rewards/capnav_reward/std': 0.22174565494060516, 'reward': 0.8020833730697632, 'reward_std': 0.22174566984176636, 'frac_reward_zero_std': 0.5, 'entropy': 0.35222474951297045, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 373.6619900967926, 'epoch': 0.0}
{'loss': 0.0218, 'grad_norm': 0.29128360549449206, 'learning_rate': 1.0126582278481013e-06, 'num_tokens': 133900.0, 'completions/mean_length': 43.40625, 'completions/min_length': 36.0, 'completions/max_length': 49.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 43.40625, 'completions/min_terminated_length': 36.0, 'completions/max_terminated_length': 49.0, 'rewards/capnav_reward/mean': 0.4895833432674408, 'rewards/capnav_reward/std': 0.18902456760406494, 'reward': 0.4895833432674408, 'reward_std': 0.18902456760406494, 'frac_reward_zero_std': 0.5, 'entropy': 0.07853715866804123, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 114.57062329328619, 'epoch': 0.0}
{'loss': 0.0728, 'grad_norm': 0.9481698398254745, 'learning_rate': 1.139240506329114e-06, 'num_tokens': 147665.0, 'completions/mean_length': 28.15625, 'completions/min_length': 18.0, 'completions/max_length': 46.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 28.15625, 'completions/min_terminated_length': 18.0, 'completions/max_terminated_length': 46.0, 'rewards/capnav_reward/mean': 0.7916666865348816, 'rewards/capnav_reward/std': 0.3465135991573334, 'reward': 0.7916666865348816, 'reward_std': 0.3465135991573334, 'frac_reward_zero_std': 0.0, 'entropy': 0.0687904916703701, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 117.38220503204502, 'epoch': 0.0}
{'loss': 0.3025, 'grad_norm': 0.9892274231544841, 'learning_rate': 1.2658227848101267e-06, 'num_tokens': 160917.0, 'completions/mean_length': 21.625, 'completions/min_length': 16.0, 'completions/max_length': 47.0, 'completions/clipped_ratio': 0.0, 'completions/mean_terminated_length': 21.625, 'completions/min_terminated_length': 16.0, 'completions/max_terminated_length': 47.0, 'rewards/capnav_reward/mean': 0.8854166865348816, 'rewards/capnav_reward/std': 0.27577683329582214, 'reward': 0.8854166865348816, 'reward_std': 0.27577683329582214, 'frac_reward_zero_std': 0.0, 'entropy': 0.10314166359603405, 'clip_ratio/low_mean': 0.0, 'clip_ratio/low_min': 0.0, 'clip_ratio/high_mean': 0.0, 'clip_ratio/high_max': 0.0, 'clip_ratio/region_mean': 0.0, 'step_time': 116.14846417075023, 'epoch': 0.0}
